division,mlb_team,level,league,word_count,team,city,name,review
East,Tampa Bay Rays,High A,South Atlantic League,4,Bowling Green Hot Rods,Bowling Green,Hot Rods,FALSE
West,Texas Rangers,A,Carolina League,4,Down East Wood Ducks,Down East,Wood Ducks,FALSE
Central,Minnesota Twins,A,Florida State League,4,Fort Myers Mighty Mussels,Fort Myers,Mighty Mussels,FALSE
East,Toronto Blue Jays,AA,Eastern League,4,New Hampshire Fisher Cats,New Hampshire,Fisher Cats,FALSE
Central,Kansas City Royals,High A,Midwest League,4,Quad Cities River Bandits,Quad Cities,River Bandits,FALSE
West,Los Angeles Angels,AA,Southern League,4,Rocket City Trash Pandas,Rocket City,Trash Pandas,FALSE
East,New York Yankees,AAA,International League,4,Scranton/Wilkes-Barre RailRiders,Scranton/Wilkes-Barre,RailRiders,FALSE
West,Houston Astros,AAA,Pacific Coast League,4,Sugar Land Space Cowboys,Sugar Land,Space Cowboys,FALSE
West,Los Angeles Angels,High A,Northwest League,4,Tri-City Dust Devils,Tri-City,Dust Devils,FALSE
West,Arizona Diamondbacks,AA,Texas League,3,Amarillo Sod Poodles,Amarillo,Sod Poodles,TRUE
East,Miami Marlins,High A,Midwest League,3,Beloit Sky Carp,Beloit,Sky Carp,TRUE
East,New York Mets,AA,Eastern League,3,Binghamton Rumble Ponies,Binghamton,Rumble Ponies,TRUE
Central,Minnesota Twins,High A,Midwest League,3,Cedar Rapids Kernels,Cedar Rapids,Kernels,TRUE
West,Houston Astros,AA,Texas League,3,Corpus Christi Hooks,Corpus Christi,Hooks,TRUE
East,Toronto Blue Jays,A,Florida State League,3,Dunedin Blue Jays,Dunedin,Blue Jays,TRUE
West,San Diego Padres,AAA,Pacific Coast League,3,El Paso Chihuahuas,El Paso,Chihuahuas,TRUE
West,San Diego Padres,High A,Midwest League,3,Fort Wayne TinCaps,Fort Wayne,TinCaps,TRUE
West,Los Angeles Dodgers,High A,Midwest League,3,Great Lakes Loons,Great Lakes,Loons,TRUE
West,Colorado Rockies,AA,Eastern League,3,Hartford Yard Goats,Hartford,Yard Goats,TRUE
East,New York Yankees,High A,South Atlantic League,3,Hudson Valley Renegades,Hudson Valley,Renegades,TRUE
West,Los Angeles Angels,A,California League,3,Inland Empire 66ers,Inland Empire,66ers,TRUE
East,Miami Marlins,AAA,International League,3,Jacksonville Jumbo Shrimp,Jacksonville,Jumbo Shrimp,TRUE
East,Philadelphia Phillies,High A,South Atlantic League,3,Jersey Shore BlueClaws,Jersey Shore,BlueClaws,TRUE
Central,Chicago White Sox,A,Carolina League,3,Kannapolis Cannon Ballers,Kannapolis,Cannon Ballers,TRUE
Central,Cleveland Guardians,High A,Midwest League,3,Lake County Captains,Lake County,Captains,TRUE
West,San Diego Padres,A,California League,3,Lake Elsinore Storm,Lake Elsinore,Storm,TRUE
Central,Detroit Tigers,A,Florida State League,3,Lakeland Flying Tigers,Lakeland,Flying Tigers,TRUE
West,Oakland Athletics,AAA,Pacific Coast League,3,Las Vegas Aviators,Las Vegas,Aviators,TRUE
East,Philadelphia Phillies,AAA,International League,3,Lehigh Valley IronPigs,Lehigh Valley,IronPigs,TRUE
Central,Chicago Cubs,A,Carolina League,3,Myrtle Beach Pelicans,Myrtle Beach,Pelicans,TRUE
Central,Kansas City Royals,AA,Texas League,3,Northwest Arkansas Naturals,Northwest Arkansas,Naturals,TRUE
West,Los Angeles Dodgers,AAA,Pacific Coast League,3,Oklahoma City Dodgers,Oklahoma City,Dodgers,TRUE
Central,Kansas City Royals,AAA,International League,3,Omaha Storm Chasers,Omaha,Storm Chasers,TRUE
Central,St. Louis Cardinals,A,Florida State League,3,Palm Beach Cardinals,Palm Beach,Cardinals,TRUE
East,Miami Marlins,AA,Southern League,3,Pensacola Blue Wahoos,Pensacola,Blue Wahoos,TRUE
East,Boston Red Sox,AA,Eastern League,3,Portland Sea Dogs,Portland,Sea Dogs,TRUE
West,Los Angeles Dodgers,A,California League,3,Rancho Cucamonga Quakes,Rancho Cucamonga,Quakes,TRUE
East,Philadelphia Phillies,AA,Eastern League,3,Reading Fightin Phils,Reading,Fightin Phils,TRUE
West,San Francisco Giants,AA,Eastern League,3,Richmond Flying Squirrels,Richmond,Flying Squirrels,TRUE
East,Washington Nationals,AAA,International League,3,Rochester Red Wings,Rochester,Red Wings,TRUE
West,Texas Rangers,AAA,Pacific Coast League,3,Round Rock Express,Round Rock,Express,TRUE
West,San Francisco Giants,AAA,Pacific Coast League,3,Sacramento River Cats,Sacramento,River Cats,TRUE
East,Boston Red Sox,A,Carolina League,3,Salem Red Sox,Salem,Red Sox,TRUE
West,Los Angeles Angels,AAA,Pacific Coast League,3,Salt Lake Bees,Salt Lake,Bees,TRUE
West,San Diego Padres,AA,Texas League,3,San Antonio Missions,San Antonio,Missions,TRUE
West,San Francisco Giants,A,California League,3,San Jose Giants,San Jose,Giants,TRUE
Central,Chicago Cubs,High A,Midwest League,3,South Bend Cubs,South Bend,Cubs,TRUE
East,New York Mets,A,Florida State League,3,St. Lucie Mets,St. Lucie,Mets,TRUE
Central,Minnesota Twins,AAA,International League,3,St. Paul Saints,St. Paul,Saints,TRUE
Central,Detroit Tigers,AAA,International League,3,Toledo Mud Hens,Toledo,Mud Hens,TRUE
Central,Detroit Tigers,High A,Midwest League,3,West Michigan Whitecaps,West Michigan,Whitecaps,TRUE
Central,Minnesota Twins,AA,Texas League,3,Wichita Wind Surge,Wichita,Wind Surge,TRUE
East,Washington Nationals,High A,South Atlantic League,3,Wilmington Blue Rocks,Wilmington,Blue Rocks,TRUE
Central,Chicago White Sox,High A,South Atlantic League,3,Winston-Salem Dash,Winston-Salem,Dash,TRUE
Central,Milwaukee Brewers,High A,Midwest League,3,Wisconsin Timber Rattlers,Wisconsin,Timber Rattlers,TRUE
East,Boston Red Sox,AAA,International League,3,Worcester Red Sox,Worcester,Red Sox,TRUE
East,Baltimore Orioles,High A,South Atlantic League,2,Aberdeen IronBirds,Aberdeen,IronBirds,FALSE
Central,Cleveland Guardians,AA,Eastern League,2,Akron RubberDucks,Akron,RubberDucks,FALSE
West,Colorado Rockies,AAA,Pacific Coast League,2,Albuquerque Isotopes,Albuquerque,Isotopes,FALSE
Central,Pittsburgh Pirates,AA,Eastern League,2,Altoona Curve,Altoona,Curve,FALSE
West,Seattle Mariners,AA,Texas League,2,Arkansas Travelers,Arkansas,Travelers,FALSE
West,Houston Astros,High A,South Atlantic League,2,Asheville Tourists,Asheville,Tourists,FALSE
East,Atlanta Braves,A,Carolina League,2,Augusta GreenJackets,Augusta,GreenJackets,FALSE
Central,Milwaukee Brewers,AA,Southern League,2,Biloxi Shuckers,Biloxi,Shuckers,FALSE
Central,Chicago White Sox,AA,Southern League,2,Birmingham Barons,Birmingham,Barons,FALSE
East,Baltimore Orioles,AA,Eastern League,2,Bowie Baysox,Bowie,Baysox,FALSE
Central,Pittsburgh Pirates,A,Florida State League,2,Bradenton Marauders,Bradenton,Marauders,FALSE
East,New York Mets,High A,South Atlantic League,2,Brooklyn Cyclones,Brooklyn,Cyclones,FALSE
East,Toronto Blue Jays,AAA,International League,2,Buffalo Bisons,Buffalo,Bisons,FALSE
Central,Milwaukee Brewers,A,Carolina League,2,Carolina Mudcats,Carolina,Mudcats,FALSE
East,Tampa Bay Rays,A,Carolina League,2,Charleston RiverDogs,Charleston,RiverDogs,FALSE
Central,Chicago White Sox,AAA,International League,2,Charlotte Knights,Charlotte,Knights,FALSE
Central,Cincinnati Reds,AA,Southern League,2,Chattanooga Lookouts,Chattanooga,Lookouts,FALSE
East,Philadelphia Phillies,A,Florida State League,2,Clearwater Threshers,Clearwater,Threshers,FALSE
Central,Kansas City Royals,A,Carolina League,2,Columbia Fireflies,Columbia,Fireflies,FALSE
Central,Cleveland Guardians,AAA,International League,2,Columbus Clippers,Columbus,Clippers,FALSE
Central,Cincinnati Reds,High A,Midwest League,2,Dayton Dragons,Dayton,Dragons,FALSE
Central,Cincinnati Reds,A,Florida State League,2,Daytona Tortugas,Daytona,Tortugas,FALSE
East,Baltimore Orioles,A,Carolina League,2,Delmarva Shorebirds,Delmarva,Shorebirds,FALSE
East,Tampa Bay Rays,AAA,International League,2,Durham Bulls,Durham,Bulls,FALSE
Central,Detroit Tigers,AA,Eastern League,2,Erie SeaWolves,Erie,SeaWolves,FALSE
West,San Francisco Giants,High A,Northwest League,2,Eugene Emeralds,Eugene,Emeralds,FALSE
West,Seattle Mariners,High A,Northwest League,2,Everett AquaSox,Everett,AquaSox,FALSE
West,Houston Astros,A,Carolina League,2,Fayetteville Woodpeckers,Fayetteville,Woodpeckers,FALSE
East,Washington Nationals,A,Carolina League,2,Fredericksburg Nationals,Fredericksburg,Nationals,FALSE
West,Colorado Rockies,A,California League,2,Fresno Grizzlies,Fresno,Grizzlies,FALSE
West,Texas Rangers,AA,Texas League,2,Frisco RoughRiders,Frisco,RoughRiders,FALSE
Central,Pittsburgh Pirates,High A,South Atlantic League,2,Greensboro Grasshoppers,Greensboro,Grasshoppers,FALSE
East,Boston Red Sox,High A,South Atlantic League,2,Greenville Drive,Greenville,Drive,FALSE
East,Atlanta Braves,AAA,International League,2,Gwinnett Stripers,Gwinnett,Stripers,FALSE
East,Washington Nationals,AA,Eastern League,2,Harrisburg Senators,Harrisburg,Senators,FALSE
West,Texas Rangers,High A,South Atlantic League,2,Hickory Crawdads,Hickory,Crawdads,FALSE
West,Arizona Diamondbacks,High A,Northwest League,2,Hillsboro Hops,Hillsboro,Hops,FALSE
Central,Pittsburgh Pirates,AAA,International League,2,Indianapolis Indians,Indianapolis,Indians,FALSE
Central,Chicago Cubs,AAA,International League,2,Iowa Cubs,Iowa,Cubs,FALSE
East,Miami Marlins,A,Florida State League,2,Jupiter Hammerheads,Jupiter,Hammerheads,FALSE
West,Oakland Athletics,High A,Midwest League,2,Lansing Lugnuts,Lansing,Lugnuts,FALSE
Central,Cincinnati Reds,AAA,International League,2,Louisville Bats,Louisville,Bats,FALSE
Central,Cleveland Guardians,A,Carolina League,2,Lynchburg Hillcats,Lynchburg,Hillcats,FALSE
Central,St. Louis Cardinals,AAA,International League,2,Memphis Redbirds,Memphis,Redbirds,FALSE
West,Oakland Athletics,AA,Texas League,2,Midland RockHounds,Midland,RockHounds,FALSE
East,Atlanta Braves,AA,Southern League,2,Mississippi Braves,Mississippi,Braves,FALSE
West,Seattle Mariners,A,California League,2,Modesto Nuts,Modesto,Nuts,FALSE
East,Tampa Bay Rays,AA,Southern League,2,Montgomery Biscuits,Montgomery,Biscuits,FALSE
Central,Milwaukee Brewers,AAA,International League,2,Nashville Sounds,Nashville,Sounds,FALSE
East,Baltimore Orioles,AAA,International League,2,Norfolk Tides,Norfolk,Tides,FALSE
Central,St. Louis Cardinals,High A,Midwest League,2,Peoria Chiefs,Peoria,Chiefs,FALSE
West,Arizona Diamondbacks,AAA,Pacific Coast League,2,Reno Aces,Reno,Aces,FALSE
East,Atlanta Braves,High A,South Atlantic League,2,Rome Braves,Rome,Braves,FALSE
East,New York Yankees,AA,Eastern League,2,Somerset Patriots,Somerset,Patriots,FALSE
West,Colorado Rockies,High A,Northwest League,2,Spokane Indians,Spokane,Indians,FALSE
Central,St. Louis Cardinals,AA,Texas League,2,Springfield Cardinals,Springfield,Cardinals,FALSE
West,Oakland Athletics,A,California League,2,Stockton Ports,Stockton,Ports,FALSE
East,New York Mets,AAA,International League,2,Syracuse Mets,Syracuse,Mets,FALSE
West,Seattle Mariners,AAA,Pacific Coast League,2,Tacoma Rainiers,Tacoma,Rainiers,FALSE
East,New York Yankees,A,Florida State League,2,Tampa Tarpons,Tampa,Tarpons,FALSE
Central,Chicago Cubs,AA,Southern League,2,Tennessee Smokies,Tennessee,Smokies,FALSE
